"","one_to_hundred","random_salaries","random_salaries_2018","change","got_raise"
"70",70,46150.4362896085,41162.6524943858,-4987.78379522264,FALSE
"71",71,46854.6013906598,48052.4877959397,1197.88640527986,TRUE
"72",72,45792.3043915071,44742.370264139,-1049.93412736803,FALSE
"73",73,40005.8259791695,40280.2251139656,274.399134796113,TRUE
"74",74,42858.6633852683,51357.4008317664,8498.73744649813,TRUE
"75",75,41283.017329406,37855.4048959631,-3427.61243344285,FALSE
"76",76,48703.1703931279,54197.4993434269,5494.32895029895,TRUE
"77",77,46710.0430396385,52808.3983354736,6098.35529583506,TRUE
"78",78,41417.6591322757,41599.96790695,182.308774674311,TRUE
"79",79,41025.1125437208,40501.6145005357,-523.4980431851,FALSE
"80",80,40455.9940285981,47047.4890072364,6591.49497863837,TRUE
"81",81,43132.1171973832,45185.6457267422,2053.52852935903,TRUE
"82",82,48445.6462739035,57280.6444240268,8834.99815012328,TRUE
"83",83,44342.0938029885,45948.0008925311,1605.9070895426,TRUE
"84",84,41027.6075149886,39228.8053280208,-1798.80218696781,FALSE
"85",85,47741.8066188693,55963.8218500186,8222.01523114927,TRUE
"86",86,47660.0102055818,53961.3320678473,6301.32186226547,TRUE
"87",87,48676.7925089225,57984.8105087876,9308.01799986511,TRUE
"88",88,42556.3381426036,50348.3768249862,7792.03868238255,TRUE
"89",89,42598.4554854222,44197.1017827746,1598.64629735239,TRUE
"90",90,44251.6600107774,52495.1176554896,8243.45764471218,TRUE
"91",91,41268.9552153461,43663.204095792,2394.24888044596,TRUE
"92",92,43110.8007673174,39899.3935191538,-3211.4072481636,FALSE
"93",93,46724.299530033,48021.9237797428,1297.62424970977,TRUE
"94",94,49964.2573087476,53508.3641542587,3544.10684551112,TRUE
"95",95,49619.0703567117,52076.276979642,2457.20662293024,TRUE
"96",96,43342.6674036309,48998.8477400038,5656.18033637293,TRUE
"97",97,44153.5548516549,43203.5197596997,-950.035091955215,FALSE
"98",98,41350.2935669385,46856.4751499798,5506.18158304133,TRUE
"99",99,48933.1028610468,54502.4270564318,5569.32419538498,TRUE
"100",100,40637.2716650367,45056.0817215592,4418.81005652249,TRUE
